category,value,sortOrder,createdAt,createdBy,updatedAt,updatedBy
People Group 1 (Eligibility Group),G-Staff-GS,12,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),G-TA-Staff-GS,13,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),H-Internship,14,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),I-Staff-IP,15,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),I-TA-Staff-IP,16,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),M-International Personnel Service Agreement,17,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),N-Staff-NO,18,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),N-TA-Staff-NO,19,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),O-National Personnel Service Agreement,20,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),P-Personnel Service Agreement(Only UNU),21,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),R-Translator,22,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),S-Service Contract Holders,23,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),T-Fellows,24,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),W Volunteer International Specialist,25,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),W-UNV-International Volunteers(Regular/Specialists),26,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),Y Volunteer National Specialist,27,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),Y-UNV-National Volunteers(Regular/Specialists),28,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),Z Volunteer National Community,29,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),Z-UN Volunteers-Community Volunteers,30,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 2 (Arrangement Type),UNDP,1,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 2 (Arrangement Type),MIP - Medical/Insurance and Pension,2,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 2 (Arrangement Type),P - Payroll Only,3,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 2 (Arrangement Type),IA,4,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 3 (Agency Type),IARC,1,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 3 (Agency Type),IARC-ECVS,2,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 3 (Agency Type),ICAO,3,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 3 (Agency Type),ICAO-CDI,4,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 3 (Agency Type),ICAO-OPAS,5,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 3 (Agency Type),ICAO-SUPN,6,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 3 (Agency Type),WMO,7,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 3 (Agency Type),WMO-GCOS,8,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 3 (Agency Type),WMO-GEO,9,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 3 (Agency Type),WMO-IPCC,10,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 3 (Agency Type),WMO-JPO,11,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Contract Clause,JPO,1,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,FPA,1,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,MIC,2,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,GSC,3,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,IAP,4,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,CF,5,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,DGC,6,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,HCR,7,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,CAO,8,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,SOM,9,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,DIS,10,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,ISA,11,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,UNV,12,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,AMA,13,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,OPS,14,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,APG,15,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,WHO-JPO,16,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,EOY,17,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,AEA,18,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,AID,19,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,DCO,20,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,PAH,21,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,NOV,22,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,ICR,23,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,UN,24,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,EP,25,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,SEC,26,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,WMO,27,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,UPU,28,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,FAO,29,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,FAD,30,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,CTB,31,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,CCC,32,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,CHR,33,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,DP,34,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,AMI,35,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,ECL,36,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,OSA,37,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,CTD,38,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,CCD,39,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,ESC,40,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,CPD,41,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,OCT,42,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,SAC,43,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,OWA,44,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,ESW,45,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,CDF,46,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,IUH,47,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,IDO,48,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,IOM,49,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,MSS,50,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,MAS,51,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,IFC,52,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,OCA,53,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,ECA,54,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,WFP,55,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,CHS,56,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,UNU,57,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,RCC,58,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,ROM,59,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,RCO,60,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,VMC,61,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,ICT,62,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,CFB,63,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,EAS,64,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,SFA,65,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,MNU,66,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,GOV,67,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,PBS,68,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,TAD,69,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,RSE,70,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,RSO,71,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,FEM,72,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,DPO,73,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,DOS,74,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,PPA,75,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,OCH,76,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,IARC,77,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,NON,78,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,OSC,79,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,SCO,80,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,ICC,81,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,DCP,82,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,REL,83,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,IMO,84,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,ODA,85,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,MIK,86,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,REC,87,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,IB,88,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,ITC,89,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,WHO,90,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,TAM,91,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,MCA,92,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,NIC,93,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,UNT,94,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,WAS,95,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,ITU,96,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,MDC,97,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,SSC,98,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,WTO,99,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,RA,100,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,SDR,101,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,SML,102,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,TLD,103,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,ILO,104,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,SCE,105,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,TAR,106,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,WIP,107,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,SGL,108,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Agencies,SOS,109,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Account Type,Cost Account,1,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Account Type,Offset Account,2,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
