elementName,eligibility,accountType,costingType,eligibilityStartDate,eligibilityEndDate,legalEmployer,peopleGroup1,peopleGroup2,peopleGroup3,seg1,seg2,seg3,seg4,seg5,seg6,seg7,seg8,seg9,createdAt,createdBy,updatedAt,updatedBy
UNA_ER_RES_SEC,UNA_ER_RES_SEC_PG_EG_W,Offset Account,Any,1951-01-01,4712-12-31,,W-UNV-International Volunteers(Regular/Specialists),,,UNDP,H17,1,0,21012,0,0,0,0,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC,UNA_ER_RES_SEC_PG_EG_W_W,Cost Account,Any,2026-04-01,4712-12-31,,W Volunteer International Specialist,UNDP,,,,,,71515,,,,,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC,UNA_ER_RES_SEC_PG_EG_W_W,Offset Account,Any,2026-04-01,4712-12-31,,W Volunteer International Specialist,UNDP,,UNDP,H17,1,0,21012,0,0,0,0,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC,UNA_ER_RES_SEC_PG_EG_Y,Cost Account,Any,1951-01-01,4712-12-31,,Y-UNV-National Volunteers(Regular/Specialists),,,,,,,71515,,,,,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC,UNA_ER_RES_SEC_PG_EG_Y,Offset Account,Any,1951-01-01,4712-12-31,,Y-UNV-National Volunteers(Regular/Specialists),,,UNDP,H17,1,0,21012,0,0,0,0,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC,UNA_ER_RES_SEC_PG_EG_Y_Y,Cost Account,Any,2026-04-01,4712-12-31,,Y Volunteer National Specialist,UNDP,,,,,,71515,,,,,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC,UNA_ER_RES_SEC_PG_EG_Y_Y,Offset Account,Any,2026-04-01,4712-12-31,,Y Volunteer National Specialist,UNDP,,UNDP,H17,1,0,21012,0,0,0,0,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC Retroactive,UNA_ER_RES_SEC Retroactive_PG_EG_1,Cost Account,Any,1951-01-01,4712-12-31,,1-UN Volunteers-National Expert,,,,,,,71515,,,,,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC Retroactive,UNA_ER_RES_SEC Retroactive_PG_EG_1,Offset Account,Any,1951-01-01,4712-12-31,,1-UN Volunteers-National Expert,,,UNDP,H17,1,0,21012,0,0,0,0,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC Retroactive,UNA_ER_RES_SEC Retroactive_PG_EG_1_1,Cost Account,Any,2026-04-01,4712-12-31,,1 Volunteer National Expert,UNDP,,,,,,71515,,,,,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC Retroactive,UNA_ER_RES_SEC Retroactive_PG_EG_1_1,Offset Account,Any,2026-04-01,4712-12-31,,1 Volunteer National Expert,UNDP,,UNDP,H17,1,0,21012,0,0,0,0,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC Retroactive,UNA_ER_RES_SEC Retroactive_PG_EG_2,Cost Account,Any,1951-01-01,4712-12-31,,2-UN Volunteers-International Expert,,,,,,,71515,,,,,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC Retroactive,UNA_ER_RES_SEC Retroactive_PG_EG_2,Offset Account,Any,1951-01-01,4712-12-31,,2-UN Volunteers-International Expert,,,UNDP,H17,1,0,21012,0,0,0,0,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC Retroactive,UNA_ER_RES_SEC Retroactive_PG_EG_2_2,Cost Account,Any,2026-04-01,4712-12-31,,2 Volunteer International Expert,UNDP,,,,,,71515,,,,,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC Retroactive,UNA_ER_RES_SEC Retroactive_PG_EG_2_2,Offset Account,Any,2026-04-01,4712-12-31,,2 Volunteer International Expert,UNDP,,UNDP,H17,1,0,21012,0,0,0,0,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC Retroactive,UNA_ER_RES_SEC Retroactive_PG_EG_4,Cost Account,Any,2026-04-01,4712-12-31,,4 Volunteer International Associate,UNDP,,,,,,71515,,,,,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC Retroactive,UNA_ER_RES_SEC Retroactive_PG_EG_4,Offset Account,Any,2026-04-01,4712-12-31,,4 Volunteer International Associate,UNDP,,UNDP,H17,1,0,21012,0,0,0,0,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC Retroactive,UNA_ER_RES_SEC Retroactive_PG_EG_B,Cost Account,Any,1951-01-01,4712-12-31,,B-UN Volunteers-Intl.Youth,,,,,,,71515,,,,,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC Retroactive,UNA_ER_RES_SEC Retroactive_PG_EG_B,Offset Account,Any,1951-01-01,4712-12-31,,B-UN Volunteers-Intl.Youth,,,UNDP,H17,1,0,21012,0,0,0,0,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC Retroactive,UNA_ER_RES_SEC Retroactive_PG_EG_C,Cost Account,Any,1951-01-01,4712-12-31,,C-UN Volunteers-Intl.University,,,,,,,71515,,,,,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC Retroactive,UNA_ER_RES_SEC Retroactive_PG_EG_C,Offset Account,Any,1951-01-01,4712-12-31,,C-UN Volunteers-Intl.University,,,UNDP,H17,1,0,21012,0,0,0,0,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC Retroactive,UNA_ER_RES_SEC Retroactive_PG_EG_W,Cost Account,Any,1951-01-01,4712-12-31,,W-UNV-International Volunteers(Regular/Specialists),,,,,,,71515,,,,,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC Retroactive,UNA_ER_RES_SEC Retroactive_PG_EG_W,Offset Account,Any,1951-01-01,4712-12-31,,W-UNV-International Volunteers(Regular/Specialists),,,UNDP,H17,1,0,21012,0,0,0,0,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC Retroactive,UNA_ER_RES_SEC Retroactive_PG_EG_W_W,Cost Account,Any,2026-04-01,4712-12-31,,W Volunteer International Specialist,UNDP,,,,,,71515,,,,,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC Retroactive,UNA_ER_RES_SEC Retroactive_PG_EG_W_W,Offset Account,Any,2026-04-01,4712-12-31,,W Volunteer International Specialist,UNDP,,UNDP,H17,1,0,21012,0,0,0,0,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC Retroactive,UNA_ER_RES_SEC Retroactive_PG_EG_Y,Cost Account,Any,1951-01-01,4712-12-31,,Y-UNV-National Volunteers(Regular/Specialists),,,,,,,71515,,,,,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC Retroactive,UNA_ER_RES_SEC Retroactive_PG_EG_Y,Offset Account,Any,1951-01-01,4712-12-31,,Y-UNV-National Volunteers(Regular/Specialists),,,UNDP,H17,1,0,21012,0,0,0,0,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC Retroactive,UNA_ER_RES_SEC Retroactive_PG_EG_Y_Y,Cost Account,Any,2026-04-01,4712-12-31,,Y Volunteer National Specialist,UNDP,,,,,,71515,,,,,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
UNA_ER_RES_SEC Retroactive,UNA_ER_RES_SEC Retroactive_PG_EG_Y_Y,Offset Account,Any,2026-04-01,4712-12-31,,Y Volunteer National Specialist,UNDP,,UNDP,H17,1,0,21012,0,0,0,0,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
